"","DOI","metric","value","year","journal","journal2"
"1952","10.1046/j.1365-2656.2001.00524.x","Mendeley_groups",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1953","10.1046/j.1365-2656.2001.00524.x","CiteULike_bookmarks",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1954","10.1046/j.1365-2656.2001.00524.x","CiteULike_bookmarks",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1955","10.1046/j.1365-2656.2001.00524.x","Mendeley_groups",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1956","10.1046/j.1365-2656.2001.00524.x","Mendeley_groups",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1957","10.1046/j.1365-2656.2001.00524.x","Mendeley_readers",102,2001,"Journal of Animal Ecology","J Anim Ecol"
"1958","10.1046/j.1365-2656.2001.00524.x","Mendeley_readers",102,2001,"Journal of Animal Ecology","J Anim Ecol"
"1959","10.1046/j.1365-2656.2003.00696.x","Mendeley_groups",4,2003,"Journal of Animal Ecology","J Anim Ecol"
"1960","10.1046/j.1365-2656.2003.00696.x","Mendeley_readers",99,2003,"Journal of Animal Ecology","J Anim Ecol"
"1961","10.1111/j.1365-2656.2009.01639.x","CiteULike_bookmarks",5,2010,"Journal of Animal Ecology","J Anim Ecol"
"1962","10.1111/j.1365-2656.2009.01639.x","Mendeley_groups",1,2010,"Journal of Animal Ecology","J Anim Ecol"
"1963","10.1111/j.1365-2656.2009.01639.x","Mendeley_readers",61,2010,"Journal of Animal Ecology","J Anim Ecol"
"1964","10.2307/4220","Mendeley_readers",99,1980,"The Journal of Animal Ecology","J Anim Ecol"
"1965","10.2307/4220","Mendeley_groups",4,1980,"The Journal of Animal Ecology","J Anim Ecol"
"1966","10.1046/j.1365-2656.2002.00595.x","Mendeley_groups",5,2002,"Journal of Animal Ecology","J Anim Ecol"
"1967","10.1046/j.1365-2656.2002.00595.x","Mendeley_readers",94,2002,"Journal of Animal Ecology","J Anim Ecol"
"1968","10.1111/j.1365-2656.2005.00944.x","Mendeley_readers",69,2005,"Journal of Animal Ecology","J Anim Ecol"
"1969","10.1111/j.1365-2656.2005.00944.x","Mendeley_readers",69,2005,"Journal of Animal Ecology","J Anim Ecol"
"1970","10.1111/j.1365-2656.2005.00944.x","Mendeley_groups",2,2005,"Journal of Animal Ecology","J Anim Ecol"
"1971","10.1111/j.1365-2656.2005.00944.x","Mendeley_groups",2,2005,"Journal of Animal Ecology","J Anim Ecol"
"1972","10.1111/j.1365-2656.2005.00944.x","Mendeley_groups",2,2005,"Journal of Animal Ecology","J Anim Ecol"
"1973","10.1111/j.1365-2656.2005.00944.x","Mendeley_groups",2,2005,"Journal of Animal Ecology","J Anim Ecol"
"1974","10.1111/j.1365-2656.2005.00944.x","Mendeley_readers",69,2005,"Journal of Animal Ecology","J Anim Ecol"
"1975","10.1111/j.1365-2656.2005.00944.x","Mendeley_readers",69,2005,"Journal of Animal Ecology","J Anim Ecol"
"1976","10.1046/j.1365-2656.2002.00618.x","Mendeley_readers",49,2002,"Journal of Animal Ecology","J Anim Ecol"
"1977","10.1046/j.1365-2656.2002.00618.x","Mendeley_readers",49,2002,"Journal of Animal Ecology","J Anim Ecol"
"1978","10.1046/j.1365-2656.2002.00618.x","CiteULike_bookmarks",2,2002,"Journal of Animal Ecology","J Anim Ecol"
"1979","10.1046/j.1365-2656.2002.00618.x","CiteULike_bookmarks",2,2002,"Journal of Animal Ecology","J Anim Ecol"
"1980","10.1046/j.1365-2656.2002.00618.x","Mendeley_readers",49,2002,"Journal of Animal Ecology","J Anim Ecol"
"1981","10.1046/j.1365-2656.2002.00618.x","Mendeley_readers",49,2002,"Journal of Animal Ecology","J Anim Ecol"
"1982","10.1046/j.1365-2656.2002.00618.x","CiteULike_bookmarks",2,2002,"Journal of Animal Ecology","J Anim Ecol"
"1983","10.1046/j.1365-2656.2002.00618.x","CiteULike_bookmarks",2,2002,"Journal of Animal Ecology","J Anim Ecol"
"1984","10.1111/j.1365-2656.2005.00992.x","Mendeley_groups",4,2005,"Journal of Animal Ecology","J Anim Ecol"
"1985","10.1111/j.1365-2656.2005.00992.x","CiteULike_bookmarks",3,2005,"Journal of Animal Ecology","J Anim Ecol"
"1986","10.1111/j.1365-2656.2005.00992.x","Mendeley_readers",73,2005,"Journal of Animal Ecology","J Anim Ecol"
"1987","10.1111/j.1365-2656.2006.01106.x","Mendeley_groups",2,2006,"Journal of Animal Ecology","J Anim Ecol"
"1988","10.1111/j.1365-2656.2006.01106.x","Mendeley_readers",67,2006,"Journal of Animal Ecology","J Anim Ecol"
"1989","10.1046/j.1365-2656.2002.00634.x","Mendeley_readers",6,2002,"Journal of Animal Ecology","J Anim Ecol"
"1990","10.1046/j.1365-2656.2002.00634.x","CiteULike_bookmarks",2,2002,"Journal of Animal Ecology","J Anim Ecol"
"1991","10.1046/j.0021-8790.2001.00563.x","Mendeley_groups",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1992","10.1046/j.0021-8790.2001.00563.x","Mendeley_groups",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1993","10.1046/j.0021-8790.2001.00563.x","Mendeley_readers",22,2001,"Journal of Animal Ecology","J Anim Ecol"
"1994","10.1046/j.0021-8790.2001.00563.x","Mendeley_readers",22,2001,"Journal of Animal Ecology","J Anim Ecol"
"1995","10.1046/j.0021-8790.2001.00563.x","CiteULike_bookmarks",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1996","10.1046/j.0021-8790.2001.00563.x","CiteULike_bookmarks",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"1997","10.1046/j.0021-8790.2001.00563.x","Mendeley_readers",22,2001,"Journal of Animal Ecology","J Anim Ecol"
"1998","10.1046/j.0021-8790.2001.00563.x","Mendeley_readers",22,2001,"Journal of Animal Ecology","J Anim Ecol"
"1999","10.1046/j.0021-8790.2001.00563.x","Mendeley_groups",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"2000","10.1046/j.0021-8790.2001.00563.x","Mendeley_groups",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"2001","10.1046/j.0021-8790.2001.00563.x","CiteULike_bookmarks",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"2002","10.1046/j.0021-8790.2001.00563.x","CiteULike_bookmarks",1,2001,"Journal of Animal Ecology","J Anim Ecol"
"2003","10.1111/j.1365-2656.2007.01314.x","Mendeley_groups",1,2008,"Journal of Animal Ecology","J Anim Ecol"
"2004","10.1111/j.1365-2656.2007.01314.x","Mendeley_readers",63,2008,"Journal of Animal Ecology","J Anim Ecol"
"2005","10.1111/j.1365-2656.2008.01460.x","Wikipedia_mentions",1,2009,"Journal of Animal Ecology","J Anim Ecol"
"2006","10.1111/j.1365-2656.2008.01460.x","Wikipedia_mentions",1,2009,"Journal of Animal Ecology","J Anim Ecol"
"2007","10.1111/j.1365-2656.2008.01460.x","CiteULike_bookmarks",3,2009,"Journal of Animal Ecology","J Anim Ecol"
"2008","10.1111/j.1365-2656.2008.01460.x","CiteULike_bookmarks",3,2009,"Journal of Animal Ecology","J Anim Ecol"
"2009","10.1111/j.1365-2656.2008.01460.x","Mendeley_readers",64,2009,"Journal of Animal Ecology","J Anim Ecol"
"2010","10.1111/j.1365-2656.2008.01460.x","Mendeley_readers",64,2009,"Journal of Animal Ecology","J Anim Ecol"
"2011","10.1111/j.1365-2656.2008.01460.x","Mendeley_readers",64,2009,"Journal of Animal Ecology","J Anim Ecol"
"2012","10.1111/j.1365-2656.2008.01460.x","Mendeley_readers",64,2009,"Journal of Animal Ecology","J Anim Ecol"
"2013","10.1111/j.1365-2656.2008.01460.x","Mendeley_groups",4,2009,"Journal of Animal Ecology","J Anim Ecol"
"2014","10.1111/j.1365-2656.2008.01460.x","Mendeley_groups",4,2009,"Journal of Animal Ecology","J Anim Ecol"
"2015","10.1111/j.1365-2656.2008.01460.x","CiteULike_bookmarks",3,2009,"Journal of Animal Ecology","J Anim Ecol"
"2016","10.1111/j.1365-2656.2008.01460.x","CiteULike_bookmarks",3,2009,"Journal of Animal Ecology","J Anim Ecol"
"2017","10.1111/j.1365-2656.2008.01460.x","Wikipedia_mentions",1,2009,"Journal of Animal Ecology","J Anim Ecol"
"2018","10.1111/j.1365-2656.2008.01460.x","Wikipedia_mentions",1,2009,"Journal of Animal Ecology","J Anim Ecol"
"2019","10.1111/j.1365-2656.2008.01460.x","Mendeley_groups",4,2009,"Journal of Animal Ecology","J Anim Ecol"
"2020","10.1111/j.1365-2656.2008.01460.x","Mendeley_groups",4,2009,"Journal of Animal Ecology","J Anim Ecol"
"2021","10.1046/j.1365-2656.1999.00279.x","Mendeley_readers",38,1999,"Journal of Animal Ecology","J Anim Ecol"
"2022","10.1046/j.1365-2656.1999.00279.x","Mendeley_readers",38,1999,"Journal of Animal Ecology","J Anim Ecol"
"2023","10.1046/j.1365-2656.1999.00279.x","Mendeley_readers",38,1999,"Journal of Animal Ecology","J Anim Ecol"
"2024","10.1046/j.1365-2656.1999.00279.x","Mendeley_readers",38,1999,"Journal of Animal Ecology","J Anim Ecol"
"2025","10.1046/j.1365-2656.1999.00279.x","Mendeley_groups",2,1999,"Journal of Animal Ecology","J Anim Ecol"
"2026","10.1046/j.1365-2656.1999.00279.x","Mendeley_groups",2,1999,"Journal of Animal Ecology","J Anim Ecol"
"2027","10.1046/j.1365-2656.1999.00279.x","Mendeley_groups",2,1999,"Journal of Animal Ecology","J Anim Ecol"
"2028","10.1046/j.1365-2656.1999.00279.x","Mendeley_groups",2,1999,"Journal of Animal Ecology","J Anim Ecol"
"2029","10.1046/j.1365-2656.2000.00448.x","Mendeley_readers",74,2000,"Journal of Animal Ecology","J Anim Ecol"
"2030","10.2307/5591","CiteULike_bookmarks",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2031","10.2307/5591","CiteULike_bookmarks",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2032","10.2307/5591","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2033","10.2307/5591","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2034","10.2307/5591","Mendeley_readers",88,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2035","10.2307/5591","Mendeley_readers",88,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2036","10.2307/5591","Mendeley_readers",88,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2037","10.2307/5591","Mendeley_readers",88,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2038","10.2307/5591","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2039","10.2307/5591","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2040","10.2307/5591","CiteULike_bookmarks",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2041","10.2307/5591","CiteULike_bookmarks",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2042","10.1046/j.1365-2656.2002.00641.x","Mendeley_groups",2,2002,"Journal of Animal Ecology","J Anim Ecol"
"2043","10.1046/j.1365-2656.2002.00641.x","Mendeley_readers",66,2002,"Journal of Animal Ecology","J Anim Ecol"
